assists,bountyLevel,champExperience,champLevel,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,goldEarned,goldSpent,killingSprees,kills,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,neutralMinionsKilled,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,quadraKills,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win,matchID
26,0,15487,16,13,175,466,175,9421,6,8,0,9564,10130,0,0,0,0,0,981,21568,6137,11298,1,0,5208,699,9239,0,0,109,79,43,12,40,2276,27962,8022,2019,22069,41421,31800,27,255,200,6,0,1185,1185,1530,71,10,7,42,FALSE,NA1_4490971804
24,1,10463,13,5,1137,2637,1137,5336,4,2,0,8510,6975,0,4,0,0,1,357,11686,4401,5235,0,0,3597,848,4879,0,0,80,49,32,8,36,1585,15734,5700,1154,10801,28151,22039,16,164,92,5,0,450,450,686,61,3,6,24,TRUE,NA1_4490555419
21,0,12354,14,9,194,604,194,8353,4,6,0,9056,7525,0,1,0,0,1,775,9530,3672,6434,0,0,2693,737,8890,0,0,62,54,34,9,32,1950,13268,5453,1168,15546,33439,26235,14,160,96,5,0,1044,1044,222,73,7,8,32,TRUE,NA1_4490234153
17,0,11321,13,7,1225,1626,1225,7190,4,4,0,7658,6475,0,0,0,0,0,867,11188,4119,6594,0,0,3159,559,5949,0,0,90,50,33,8,35,1657,14851,5182,1254,14176,24339,19003,18,173,120,8,0,502,502,1632,54,5,7,18,TRUE,NA1_4489971668
0,0,3337,7,4,0,0,0,3675,5,2,0,3184,2400,0,0,0,0,0,313,4710,3151,5059,0,0,1591,473,2942,0,0,41,14,26,1,24,913,6301,3624,336,8361,3955,2647,6,125,70,4,0,0,0,359,10,2,1,8,FALSE,NA1_4489946601
24,0,13129,15,11,402,723,402,6543,5,7,0,8125,7500,0,1,0,0,1,752,7448,2145,2951,0,0,3427,351,6722,0,0,65,71,31,11,25,1790,16139,3731,1376,9798,30443,24550,40,117,109,9,0,5262,1234,124,61,9,10,31,TRUE,NA1_4489702648
12,1,10183,13,4,0,0,0,6053,2,1,0,6654,5850,0,2,0,0,1,790,11519,4132,2758,0,0,2082,1002,5823,0,0,90,64,32,5,32,1581,13601,5134,761,8934,23132,18014,15,196,53,5,0,0,0,352,26,2,7,19,FALSE,NA1_4489682284
13,0,11904,14,11,373,1829,373,9319,5,7,0,8237,7375,0,0,0,0,0,638,11590,2884,2027,0,0,4532,713,11382,0,0,87,46,36,6,31,2134,16445,3920,939,14128,20610,13573,13,190,112,5,0,322,322,719,82,9,6,42,TRUE,NA1_4489632127
8,0,7155,10,7,432,432,432,5529,4,4,0,5512,5050,0,0,0,0,0,407,9061,3163,4917,0,0,2693,368,4547,0,0,63,47,30,4,25,1418,11754,3532,1013,10000,11634,9793,8,134,90,5,0,0,0,535,34,5,2,18,FALSE,NA1_4489554406
16,0,7972,11,9,451,1969,451,6844,7,7,0,6797,6225,0,1,0,0,1,300,9076,4603,3155,4,0,2474,1632,8362,0,0,49,60,67,6,8,1423,12199,6883,4350,11840,8067,5664,7,20,136,5,0,648,648,322,56,7,5,27,TRUE,NA1_4489354038
17,0,7473,11,9,0,2459,0,2985,0,5,0,6277,5750,0,0,0,0,0,0,5240,1768,1771,0,0,3370,598,1797,0,0,55,44,18,4,21,1460,10035,2367,499,4055,13053,10728,8,104,0,5,0,1425,0,486,46,7,5,21,TRUE,NA1_4489169297
22,0,15434,16,9,793,1164,793,11691,7,5,0,8529,7350,0,0,0,0,0,589,17140,4607,6524,0,0,2583,614,8107,0,0,85,78,38,9,34,2119,19723,5221,1446,15156,36118,28529,14,203,183,5,0,0,0,524,78,7,3,38,FALSE,NA1_4489124769
21,1,9819,12,10,210,656,210,3859,1,4,0,7580,6550,0,1,0,0,1,1142,5705,1626,2685,0,0,3554,482,2219,0,0,47,59,17,6,16,1356,13365,2108,785,5057,21847,18272,31,74,8,5,0,4105,0,151,44,6,6,18,TRUE,NA1_4489062977
9,0,11191,13,11,352,4353,352,8482,4,8,0,7850,7575,0,0,0,0,0,1139,11360,2567,4420,0,0,4747,312,7564,0,0,82,50,34,8,31,2033,18882,3089,1015,12967,21059,16889,8,165,122,10,0,2774,209,982,64,9,4,32,TRUE,NA1_4488832013
7,0,7284,10,7,522,648,522,3423,3,4,0,5618,4900,0,0,0,0,0,508,13998,3989,3709,0,0,2300,242,2929,0,0,74,38,24,4,33,1509,16441,4374,312,6859,13559,10722,12,216,57,5,0,142,142,220,50,5,5,23,FALSE,NA1_4488376539
22,0,13846,15,13,1738,3512,1738,10637,5,10,0,10850,10250,1,3,0,2,1,598,17219,4847,3359,0,0,3656,687,9232,0,0,97,90,38,11,33,2131,24192,8851,1543,15649,50133,39577,10,161,153,5,0,3315,3315,3056,85,6,2,41,TRUE,NA1_4488268976
14,0,8882,12,9,1607,4626,1607,4535,0,6,0,7818,6725,0,0,0,0,0,0,11896,3547,4307,0,0,3260,387,2219,0,0,83,47,30,5,29,1512,17116,4325,1230,6646,21608,16465,21,179,0,8,0,1958,391,119,69,7,12,28,TRUE,NA1_4488150757
4,1,12128,14,4,2774,6423,2774,5835,0,2,0,9212,7950,0,1,0,0,1,0,86006,9653,3282,4,0,14346,688,3679,0,0,37,24,170,15,18,1389,104619,10673,1289,6961,665,0,165,265,0,1,0,4266,331,0,20,2,3,6,TRUE,NA1_4488077174
9,0,9879,12,10,1355,3920,1355,4808,2,7,0,7252,6700,0,0,0,0,0,1670,13769,3099,6238,0,0,4718,755,5568,0,0,89,36,31,5,29,1803,18488,3854,1084,12045,20120,13130,12,172,41,6,0,0,0,238,65,8,5,26,TRUE,NA1_4488002352
6,0,5748,9,8,0,302,0,4780,4,5,0,4203,3850,0,0,0,0,0,423,4942,2486,4626,0,0,3386,641,4483,0,0,40,24,14,4,20,1197,11180,3618,299,9406,6344,4830,26,102,59,6,0,2851,490,297,16,6,3,11,FALSE,NA1_4487945309
8,1,8945,12,9,0,0,0,6720,4,7,0,6429,5475,0,2,0,0,1,837,8394,2971,6439,0,0,2263,555,5254,0,0,70,42,26,7,25,1663,10658,3526,991,12217,14061,10950,7,138,111,5,0,0,0,523,69,7,5,29,FALSE,NA1_4487932868
13,0,7374,11,6,1804,3325,1804,2589,1,4,0,7031,6035,0,0,0,0,0,1083,11699,2966,2692,0,0,3697,706,1693,0,0,84,66,27,6,24,1604,15396,3673,1141,4392,28042,22529,5,160,28,5,0,0,0,6,55,4,3,26,TRUE,NA1_4487621658
16,1,12344,14,10,1047,1943,1047,10536,4,8,0,9238,7550,0,3,0,0,1,526,17173,7940,6767,4,0,4250,1757,6804,0,0,63,102,106,10,7,1840,22482,10757,4570,14129,17267,10912,12,21,91,5,0,1059,1059,557,78,8,8,36,TRUE,NA1_4487584608
15,0,11361,13,10,791,1878,791,8889,5,8,0,7780,7500,0,1,0,0,1,957,15818,4113,4437,0,0,2273,396,7217,0,0,90,56,28,8,47,2049,18421,4839,1355,13109,28610,21955,14,218,85,6,0,329,329,1455,66,8,10,31,FALSE,NA1_4487552395
15,0,12398,14,12,1552,3644,1552,9983,4,10,0,8151,6850,0,0,0,0,0,1094,12590,4697,12226,4,0,2883,1063,6235,0,0,55,95,134,11,11,2162,16144,6431,9150,19003,17869,10614,24,22,102,5,0,670,670,542,111,10,15,43,TRUE,NA1_4487472504
10,0,7499,11,7,424,709,424,6761,6,4,0,5737,5675,0,0,0,0,0,459,7596,2428,2116,0,0,1985,360,7509,0,0,67,59,22,5,22,1508,9748,2955,888,9703,18709,16180,8,119,126,5,0,166,166,78,48,5,4,21,FALSE,NA1_4487443042
24,0,17306,17,18,325,3881,325,14742,5,12,0,11181,11050,0,1,0,0,1,1416,22009,5424,9318,0,0,4168,424,10005,0,0,116,110,47,13,52,2867,30916,9021,2474,20439,60876,44854,18,282,175,5,0,4739,3171,1115,111,10,11,51,FALSE,NA1_4487372408
21,0,11658,14,14,0,306,0,18243,8,9,0,8201,8050,0,0,0,0,0,464,8621,3036,3953,0,0,2796,724,12377,0,0,62,67,40,8,38,1926,11417,3760,2315,18184,20734,15190,9,164,228,5,0,0,0,1854,64,11,6,31,FALSE,NA1_4487331048
11,1,9677,12,4,2944,5434,2944,4477,2,2,0,8220,5735,1,5,0,3,1,801,13655,3561,4577,0,0,2983,974,2848,0,0,54,68,80,4,3,1472,17083,4979,4862,7426,10686,8131,11,14,44,5,0,444,444,0,50,2,4,17,TRUE,NA1_4487040356
18,0,8304,11,7,2404,3142,2404,4708,2,4,0,6759,6075,0,0,0,0,0,655,10897,3531,889,0,0,2334,585,7741,0,0,83,30,42,5,47,1571,13256,4141,3273,9108,12604,10494,14,276,40,11,0,24,24,478,57,5,7,20,TRUE,NA1_4486972904
16,0,8593,12,5,2477,3944,2477,5305,2,2,0,6678,4975,0,0,0,0,0,455,9265,4176,2551,0,0,2413,501,4509,0,0,61,58,34,3,38,1464,11679,4678,876,7255,21635,15510,6,130,24,5,0,0,0,193,47,3,6,19,TRUE,NA1_4486890403
17,1,14618,15,17,640,1280,640,17468,4,11,0,10501,9750,1,3,0,2,1,990,21045,4648,9163,0,0,3933,344,7509,0,0,108,76,48,13,42,2614,28196,8210,2890,20767,40710,28762,13,279,156,9,0,3217,3217,4095,99,8,4,49,FALSE,NA1_4486852739
27,0,11113,13,8,161,2498,161,6408,3,4,0,8346,7200,0,0,0,0,0,1040,13528,3627,3143,4,0,4149,763,7634,0,0,84,59,31,8,40,1925,18922,5637,1439,11183,31201,24834,18,189,31,8,0,1245,1245,405,81,6,6,32,FALSE,NA1_4486526786
12,4,7560,11,7,1065,1287,1065,2997,0,4,0,6652,6435,1,4,0,4,1,0,11838,5295,1327,0,0,2661,1396,3294,0,0,53,55,63,8,9,1283,17220,6691,4153,4621,9283,7567,8,28,0,5,0,2720,0,0,42,5,1,21,TRUE,NA1_4486457397
2,0,6058,9,7,422,422,422,3318,1,5,0,4857,4175,0,0,0,0,0,1473,11470,3951,2206,0,0,2507,671,3933,0,0,69,48,35,4,34,1489,13977,4623,891,6139,16447,13566,6,201,0,5,0,0,0,0,48,5,2,27,FALSE,NA1_4486383575
33,0,17832,17,22,1210,2178,1210,15424,8,15,0,11710,11000,0,1,0,0,1,562,24145,4585,10012,2,0,3877,573,8747,0,0,113,87,49,13,37,2638,29159,6296,2744,19513,55794,43393,32,222,229,11,0,1137,1137,754,116,16,15,62,TRUE,NA1_4486247031
16,0,12007,14,8,272,1547,272,4438,3,4,0,7562,5675,0,0,0,0,0,642,10011,2765,2869,0,0,4362,360,4167,0,0,89,84,32,9,38,1898,17824,3200,1055,8149,33696,26779,32,190,59,5,0,3450,73,1112,84,6,11,35,TRUE,NA1_4486172214
0,1,3815,7,6,0,173,0,1744,0,2,0,3571,3225,0,1,0,0,1,0,5603,1668,583,0,0,2500,606,1713,0,0,42,25,16,2,16,966,8104,2274,327,2491,5545,4303,9,121,0,5,0,0,0,194,22,4,1,12,FALSE,NA1_4486155373
6,0,6039,9,9,388,487,388,4501,4,5,0,5693,4975,0,0,0,0,0,591,5761,3040,1737,0,0,3320,357,6198,0,0,56,33,22,4,36,1396,13019,3397,781,8676,9669,7452,27,133,85,5,0,3937,0,741,48,5,6,24,FALSE,NA1_4486131570
7,0,4669,8,3,1235,1235,1235,1617,2,1,0,4888,3875,0,0,0,0,0,329,5893,2433,1098,0,0,1906,630,2345,0,0,47,36,13,4,14,952,7799,3063,417,3518,8813,6629,6,84,26,5,0,0,0,74,23,1,3,11,TRUE,NA1_4486016297
19,0,11043,13,9,1071,1754,1071,6054,3,6,0,8131,6625,0,0,0,0,0,979,12942,3831,3145,0,0,3385,694,5035,0,0,104,63,36,6,34,1831,16994,5192,943,8533,24258,18734,22,204,100,5,0,666,666,353,77,7,10,33,TRUE,NA1_4485783591
4,0,2440,6,4,337,337,337,1431,0,1,0,2563,2475,0,0,0,0,0,0,5650,1720,971,0,0,2239,168,1919,0,0,34,21,9,1,12,615,7890,1888,181,3020,4751,3511,1,91,0,5,0,0,0,130,6,2,1,5,TRUE,NA1_4485743191
10,0,6402,10,5,659,805,659,3078,4,3,0,5491,4825,0,0,0,0,0,742,9577,2999,3463,0,0,1494,265,4640,0,0,57,47,23,7,31,1212,11071,3265,790,8526,11817,9323,9,190,100,5,0,0,0,422,28,3,4,11,TRUE,NA1_4485715990
12,0,9943,12,5,1268,1610,1268,3020,2,3,0,7381,6325,0,1,0,0,1,803,8510,2061,3161,0,0,1748,159,2686,0,0,50,55,24,5,18,1581,14133,2220,764,6074,20664,15539,11,95,54,5,0,3875,0,226,48,3,3,19,TRUE,NA1_4485618038
14,1,11531,14,11,418,497,418,5562,5,8,0,8414,7425,0,1,0,0,1,735,16867,6946,8407,0,0,2803,568,4048,0,0,111,78,35,7,53,1981,19671,7515,1514,13022,28316,22398,14,210,171,5,0,0,0,566,64,9,5,33,FALSE,NA1_4485568051
29,0,14779,16,12,1320,3287,1320,9704,5,7,0,10129,8850,0,1,0,0,1,753,15494,6731,5581,0,0,3740,652,6323,0,0,120,50,52,9,58,2315,19764,7912,2022,13059,21753,16293,8,209,154,5,0,529,529,1154,81,10,6,48,TRUE,NA1_4485478566
8,0,8606,12,7,0,287,0,4099,3,4,0,5511,4975,0,0,0,0,0,712,8567,2455,3268,0,0,2988,281,3919,0,0,61,35,24,4,24,1556,11556,2737,744,7350,13695,11635,12,130,62,7,0,0,0,162,43,5,3,22,FALSE,NA1_4485436513
20,0,11840,14,8,486,1737,486,7914,5,5,0,8300,6950,0,2,0,0,1,421,12852,5041,6463,0,0,2439,563,5033,0,0,91,49,31,8,46,1826,15358,5670,1039,11981,17213,13077,16,198,120,5,0,66,66,484,59,6,5,29,TRUE,NA1_4485185728
15,0,11044,13,16,555,1236,555,10504,6,10,1,9291,9625,1,3,0,2,2,644,12958,4838,11525,0,0,3139,648,7417,0,0,101,103,49,12,53,2070,16629,6017,1863,19275,44916,35268,19,245,202,5,0,531,531,332,76,9,10,33,FALSE,NA1_4485155059
38,1,18196,17,21,2089,4833,2089,14822,6,15,0,12300,11125,0,1,0,0,1,759,27706,6579,5687,0,0,5202,510,12402,0,0,133,107,44,10,48,2610,35347,8833,2656,18976,64977,51824,23,314,199,5,0,2438,1742,886,129,11,14,57,TRUE,NA1_4484587930
12,0,7111,10,5,1715,3725,1715,6290,2,3,0,6138,5675,0,0,0,0,0,743,10853,4366,5573,4,0,2435,1026,4324,0,0,51,61,58,5,8,1265,14571,5393,4071,10645,11013,6172,7,18,52,5,0,1282,0,747,37,3,2,18,TRUE,NA1_4484548619
23,0,12539,14,11,608,1350,608,11114,4,8,0,8504,7425,0,0,0,0,0,1148,10732,3675,5860,0,0,2973,871,4785,0,0,80,64,37,8,46,2113,14545,5385,3538,12327,22624,16591,11,206,131,5,0,838,838,1682,85,9,7,41,TRUE,NA1_4483658168
7,0,7672,11,8,0,230,0,5807,6,5,0,5800,5410,0,0,0,0,0,902,9667,4448,10351,0,0,1572,266,1229,0,0,77,61,38,6,40,1671,11240,4714,749,12286,19274,14925,9,174,182,5,0,0,0,705,59,6,6,24,FALSE,NA1_4483634413
17,1,8228,11,5,510,2904,510,3856,0,3,0,6246,5110,0,1,0,0,1,0,7912,3343,2288,0,0,3326,1239,3529,0,0,62,57,26,5,34,1399,12379,4583,879,6337,17654,14089,7,155,0,5,0,1140,0,519,42,3,3,19,TRUE,NA1_4483571112
15,0,8670,12,9,1064,1570,1064,7274,4,6,0,7041,6400,0,0,0,0,0,570,13556,5616,2841,0,0,3319,899,7810,0,0,77,61,35,7,37,1527,16875,6516,908,10888,23389,19125,10,187,63,5,0,0,0,235,61,7,3,26,TRUE,NA1_4483519810
7,0,5527,9,9,0,0,0,2885,2,6,0,5388,4760,0,0,0,0,0,894,5408,2564,1665,0,0,2043,522,2832,0,0,56,38,24,4,27,1524,7525,3160,1056,4677,11439,9288,12,123,41,5,0,73,73,179,51,7,4,29,FALSE,NA1_4483473944
0,0,0,1,2,0,0,0,0,0,0,0,500,500,0,0,0,0,0,0,156,0,0,0,0,124,0,0,0,0,3,0,0,0,0,104,281,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,TRUE,NA1_4483467764
8,0,6017,9,8,0,493,0,5750,6,5,0,5268,4800,0,1,0,0,1,390,7003,3382,3403,0,0,1655,494,7092,0,0,62,32,25,6,26,1331,8659,3876,499,11589,10272,7584,7,131,101,5,0,0,0,1093,40,6,4,23,FALSE,NA1_4483426889
20,0,8840,12,8,570,2252,570,9638,5,6,0,7274,7100,0,2,0,0,1,827,11460,6185,6092,0,0,2973,1379,8584,0,0,62,83,94,7,14,1657,15270,8401,6822,15028,12227,8302,7,20,89,5,0,836,836,352,52,6,6,31,FALSE,NA1_4483369470
8,0,8213,11,6,1335,2883,1335,7058,4,2,0,6849,5150,0,1,0,0,1,542,12365,5117,7803,0,0,4856,732,4216,0,0,67,66,78,9,9,1598,18145,6772,3984,12560,10793,7361,8,15,106,5,0,923,923,540,49,4,1,21,TRUE,NA1_4483010009
13,0,8371,11,6,213,721,213,6914,6,3,0,6577,5900,0,0,0,0,0,694,9665,5688,3331,0,0,2355,928,9273,0,0,88,72,41,8,48,1681,12209,6806,1826,12906,25190,18463,10,166,96,5,0,189,189,301,62,4,5,27,FALSE,NA1_4482986184
20,0,6648,10,7,1349,3163,1349,3421,2,5,0,6259,5010,0,0,0,0,0,275,6994,3203,3540,4,0,3004,830,3087,0,0,40,59,50,3,5,1219,9999,4033,4296,6684,8740,5950,4,21,22,5,0,0,0,56,43,5,3,20,TRUE,NA1_4482911620
8,0,9996,13,9,0,37,0,6087,7,6,0,6735,6125,0,1,0,0,1,682,8432,4843,5208,0,0,1037,651,7168,0,0,72,66,29,7,33,1874,9877,5902,1805,13090,22964,18778,15,131,195,5,0,407,407,713,56,7,8,35,FALSE,NA1_4482893306
8,0,8382,11,5,1933,2713,1933,1942,1,2,0,6244,4760,0,0,0,0,0,526,12175,4213,872,0,0,1939,510,3263,0,0,76,37,30,3,32,1445,14115,4724,985,4320,12840,10287,10,153,14,5,0,0,0,184,57,3,8,15,TRUE,NA1_4482546365
24,0,10163,13,9,936,1393,936,8198,3,5,0,8530,7725,0,0,0,0,0,722,12355,5277,8311,0,0,2015,709,5594,0,0,84,71,35,10,35,1863,14371,5986,2350,14605,37033,25247,7,178,76,5,0,0,0,698,86,7,5,37,TRUE,NA1_4482507537
7,0,9202,12,9,0,450,0,6079,7,7,0,6588,6125,0,0,0,0,0,519,11953,3281,7602,0,0,2964,644,6368,0,0,65,42,25,8,29,1789,14956,3965,1203,14241,16516,12668,16,164,141,5,0,39,39,271,67,7,9,30,FALSE,NA1_4482475042
15,0,11274,13,9,1814,2721,1814,9463,5,5,0,9955,9300,0,3,0,0,1,528,22847,10518,9005,0,0,4246,1641,5685,0,0,84,104,139,12,25,2015,28559,13624,6723,15512,16174,11830,10,39,136,5,0,1465,1465,821,72,7,4,31,FALSE,NA1_4482428735
6,0,4907,8,6,0,0,0,4550,7,3,0,4910,4250,0,1,0,0,1,171,5579,2859,3857,0,0,1432,606,5539,0,0,32,41,42,2,8,1130,10707,3466,916,9520,3285,1957,12,27,82,4,0,3695,0,124,20,4,1,13,FALSE,NA1_4482375401
13,0,9854,12,6,246,682,246,8443,4,4,1,8203,7800,1,4,0,3,2,558,20246,8342,4063,0,0,3989,1643,9423,0,0,77,70,84,8,22,1570,26275,12025,4843,15234,10646,5948,11,60,100,5,0,2039,2039,1747,46,4,5,24,FALSE,NA1_4482268002
18,1,12164,14,10,2222,3903,2222,7132,2,7,0,8716,7150,0,1,0,0,1,874,14604,5727,5212,1,0,2779,1237,4012,0,0,70,89,93,7,11,1751,17384,6964,7701,9570,13275,8080,15,26,29,5,0,0,0,345,70,8,9,33,TRUE,NA1_4482168131
20,1,12936,14,10,2897,5922,2897,9884,4,7,0,9365,7650,0,1,0,0,1,709,19014,6381,8759,0,0,4090,846,7569,0,0,74,107,90,9,11,1956,24402,7774,5994,16829,14670,7501,14,65,115,5,0,1297,546,499,67,8,5,40,TRUE,NA1_4481777523
16,0,5866,9,5,1116,2063,1116,2364,1,2,0,6778,5775,0,1,0,0,1,1034,8921,4000,2242,0,0,2092,892,3535,0,0,52,46,23,3,28,1237,11014,4893,643,5897,12494,9467,3,125,2,5,0,0,0,119,47,3,1,17,TRUE,NA1_4481772842
4,0,8743,12,5,210,3210,210,5120,3,3,0,6311,5845,0,2,0,0,1,680,8807,4707,1790,0,0,2788,1261,6110,0,0,50,56,76,7,9,1562,13713,6660,2606,8007,6055,4095,9,13,32,5,0,2117,692,106,44,3,7,28,FALSE,NA1_4481758716
16,0,12018,14,7,2611,3584,2611,8603,2,4,0,8483,7600,0,1,0,0,1,730,17428,6345,4574,0,0,4630,1707,4835,0,0,66,91,100,8,16,1744,22058,8052,6643,10081,12620,8542,13,49,48,5,0,0,0,670,61,5,4,25,TRUE,NA1_4481729378
10,0,7098,10,7,0,3525,0,6289,8,4,0,6174,6075,0,1,0,0,1,278,7071,4138,5189,0,0,2048,721,7941,0,0,65,52,27,5,27,1542,12007,4896,638,13459,17697,12577,8,100,162,5,0,2886,36,328,33,5,3,25,FALSE,NA1_4481705098
9,0,12081,14,9,0,0,0,11526,6,7,0,6714,6075,0,1,0,0,1,478,8915,3035,5162,0,0,2712,557,9341,0,0,66,76,102,7,21,1880,12799,4765,10041,14908,1188,0,9,209,102,1,0,1172,1172,404,47,7,2,31,FALSE,NA1_4481682225
10,0,7473,11,6,1355,2976,1355,2843,4,4,0,6710,5450,0,0,0,0,0,419,7944,2078,1578,0,0,2995,268,3515,0,0,54,48,15,4,20,1383,10939,2346,629,5177,14806,11844,11,89,66,5,0,0,0,83,52,4,8,20,TRUE,NA1_4481656465
18,1,13447,15,9,1488,4735,1488,10379,2,6,1,10467,9375,1,4,0,3,2,1533,20159,9097,4642,0,0,5021,1622,7860,0,0,69,115,101,12,17,2080,25233,10773,9263,12828,24198,17685,22,40,91,5,0,53,53,326,76,7,8,35,FALSE,NA1_4481618263
19,1,13705,15,5,2994,7041,2994,10084,4,3,0,8868,7495,0,1,0,0,1,536,18994,4676,5338,4,0,4318,867,8186,0,0,77,97,112,8,10,1968,23312,5544,5801,15035,17470,11541,12,31,100,5,0,0,0,1511,77,3,7,32,TRUE,NA1_4481579594
18,0,12334,14,6,704,807,704,10435,4,3,0,7814,7195,0,2,0,0,1,810,20383,8494,2449,0,0,3706,1639,9369,0,0,69,70,98,7,9,1765,25898,11708,5015,13369,12852,9394,14,28,79,5,0,1808,1574,1550,36,4,6,20,FALSE,NA1_4481474806
10,0,11199,13,6,0,1171,0,12897,4,2,0,6136,5425,0,0,0,0,0,708,15947,6671,10506,4,0,3203,1495,8558,0,0,66,114,94,10,16,1805,19978,8995,8455,19813,15929,8468,4,38,67,7,0,828,828,748,52,4,1,26,FALSE,NA1_4481430107
